config,run,stream,window_index,window_start_s,mean_IAT,IAT_variance,mean_frame_size,burst_length,count,phase_offset_mean_us,phase_offset_std_us,gate_util,queue_depth_max,drops,label
BenignDiverse,2,radarNode,9,0.09,0.000499666024894737,1.413685455018201e-11,64.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,2,radarNode,10,0.1,0.0004993184295789477,9.464018581458942e-12,64.0,1,20,,,0.24999999999999895,0,0,0
BenignDiverse,2,radarNode,11,0.11,0.0005006208093157896,6.437972693966234e-12,64.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,2,radarNode,12,0.12,0.0004996055395789475,9.456103635566537e-12,64.0,1,20,,,0.24999999999998612,0,0,0
BenignDiverse,2,radarNode,13,0.13,0.0005004162057894737,9.107776312457815e-12,64.0,1,20,,,0.24999999999997224,0,0,0
BenignDiverse,2,radarNode,14,0.14,0.0004997020730526322,8.021512071120639e-12,64.0,1,20,,,0.250000000000025,0,0,0
BenignDiverse,2,zonalHost,0,0.0,0.000500632214736842,5.958616511688056e-12,20.0,1,20,3.1729156249999995,8.21907783784449,0.2500000000000001,2.0,0,0
BenignDiverse,2,zonalHost,1,0.01,0.0004998648307368422,6.544126827253688e-12,20.0,1,20,,,0.24999999999999986,0,0,0
BenignDiverse,2,zonalHost,2,0.02,0.0005001980967894737,7.380529210832831e-12,20.0,1,20,,,0.2500000000000003,0,0,0
BenignDiverse,2,zonalHost,3,0.03,0.0004990012698,6.503029305238046e-12,20.0,1,21,,,0.25000000000000017,0,0,0
BenignDiverse,2,zonalHost,4,0.04,0.0004997716622105263,9.837014420814676e-12,20.0,1,20,,,0.25000000000000017,0,0,0
BenignDiverse,2,zonalHost,5,0.05,0.0004993245253684211,9.80154039605505e-12,20.0,1,20,,,0.25000000000000017,0,0,0
BenignDiverse,2,zonalHost,6,0.06,0.0005004085988947369,9.218118640567006e-12,20.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,2,zonalHost,7,0.07,0.0005000302171578947,6.0549013175380464e-12,20.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,2,zonalHost,8,0.08,0.0005000597521578945,1.2229825456423845e-11,20.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,2,zonalHost,9,0.09,0.0005005509180526312,1.1244071599625946e-11,20.0,1,20,,,0.25000000000000033,0,0,0
BenignDiverse,2,zonalHost,10,0.1,0.0005004071394736843,6.546724182232423e-12,20.0,1,20,,,0.24999999999999895,0,0,0
BenignDiverse,2,zonalHost,11,0.11,0.0004996187173684211,1.0779797345600115e-11,20.0,1,20,,,0.25000000000000033,0,0,0
